"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005777","GO:0005777","peroxisome","4/190","324/25124",0.230627022004317,0.336168201565614,0.205733293491808,"NA/CH-CPN60A/ATNDK1/HLN",4
"GO:0042579","GO:0042579","microbody","4/190","324/25124",0.230627022004317,0.336168201565614,0.205733293491808,"NA/CH-CPN60A/ATNDK1/HLN",4
"GO:0000428","GO:0000428","DNA-directed RNA polymerase complex","2/190","126/25124",0.24679163397201,0.353734675359881,0.216483889449132,"PRIN2/PDE225",2
"GO:0030880","GO:0030880","RNA polymerase complex","2/190","133/25124",0.266382723772056,0.37555597121962,0.229838415679082,"PRIN2/PDE225",2
"GO:0009521","GO:0009521","photosystem","1/190","47/25124",0.300308752161473,0.416557301385269,0.254931028999553,"PSAG",1
"GO:0000790","GO:0000790","nuclear chromatin","2/190","150/25124",0.313858431756363,0.428441668746781,0.262204203639401,"KNAT4/MCM3",2
"GO:0005681","GO:0005681","spliceosomal complex","2/190","158/25124",0.335999576437859,0.451499430838373,0.276315441149555,"NA/NA",2
"GO:0009707","GO:0009707","chloroplast outer membrane","1/190","57/25124",0.351559445243602,0.465140189091535,0.284663518415872,"ATTOC33",1
"GO:0031977","GO:0031977","thylakoid lumen","1/190","61/25124",0.370998103051771,0.482327150672709,0.29518185475686,"CYP20-3",1
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","1/190","62/25124",0.375766501105483,0.482327150672709,0.29518185475686,"NA",1
"GO:0009527","GO:0009527","plastid outer membrane","1/190","64/25124",0.385195687247066,0.487159251518348,0.298139076816615,"ATTOC33",1
"GO:0000793","GO:0000793","condensed chromosome","1/190","66/25124",0.394483181786248,0.491674690342281,0.30090250326945,"AS1",1
"GO:0000785","GO:0000785","chromatin","2/190","226/25124",0.511400015777479,0.628291447955189,0.384511290058255,"KNAT4/MCM3",2
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","2/190","234/25124",0.530024466771525,0.635825005270334,0.389121790251123,"PRIN2/PDE225",2
"GO:0009505","GO:0009505","plant-type cell wall","2/190","235/25124",0.532318609063536,0.635825005270334,0.389121790251123,"SCPL45/NA",2
"GO:0000228","GO:0000228","nuclear chromosome","2/190","242/25124",0.54816394227166,0.645782178566613,0.395215531558515,"KNAT4/MCM3",2
"GO:0019867","GO:0019867","outer membrane","1/190","120/25124",0.598729759574596,0.686543457645537,0.42016123478919,"ATTOC33",1
"GO:0031968","GO:0031968","organelle outer membrane","1/190","120/25124",0.598729759574596,0.686543457645537,0.42016123478919,"ATTOC33",1
"GO:0031226","GO:0031226","intrinsic component of plasma membrane","2/190","273/25124",0.613762942475787,0.694521224380496,0.425043588972152,"ATLPP2/AtSWEET1",2
"GO:0009705","GO:0009705","plant-type vacuole membrane","1/190","129/25124",0.625356888037635,0.696158483471727,0.426045583520029,"ZIF1",1
"GO:0019866","GO:0019866","organelle inner membrane","2/190","282/25124",0.631399554776683,0.696158483471727,0.426045583520029,"atTIC20/NA",2
"GO:1990204","GO:1990204","oxidoreductase complex","1/190","141/25124",0.658144911296881,0.716461549006732,0.438470960224438,"NA",1
"GO:0005654","GO:0005654","nucleoplasm","3/190","475/25124",0.699633568366012,0.752106085993463,0.460285242346061,"NA/ATL5/RPP1.3",3
"GO:0000325","GO:0000325","plant-type vacuole","1/190","177/25124",0.740343159025021,0.786043354026566,0.481054684226784,"ZIF1",1
"GO:0016021","GO:0016021","integral component of membrane","2/190","421/25124",0.830185073468114,0.870681906320217,0.532853063843462,"ATLPP2/AtSWEET1",2
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","1/190","293/25124",0.893254432213156,0.918640398469532,0.562203426235944,"AtSWEET1",1
"GO:0042175","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","1/190","298/25124",0.897276668272566,0.918640398469532,0.562203426235944,"AtSWEET1",1
"GO:0005802","GO:0005802","trans-Golgi network","1/190","313/25124",0.908460910013506,0.919148685425429,0.5625144953644,"FKD1",1
"GO:0098791","GO:0098791","Golgi apparatus subcompartment","1/190","391/25124",0.949789931698431,0.949789931698431,0.581266788065135,"FKD1",1
